N,Norm,Lambda,Gamma,K,LR_Entire_Time,LR_Entire_MAE,LR_Entire_RMSE,LR_Entire_MAD,LR_Cluster_Time_Avg,LR_Cluster_MAE_Avg,LR_Cluster_RMSE_Avg,LR_Cluster_MAD_Avg,LR_Euc_Time_Avg,LR_Euc_MAE_Avg,LR_Euc_RMSE_Avg,LR_Euc_MAD_Avg,RF_Entire_Time,RF_Entire_MAE,RF_Entire_RMSE,RF_Entire_MAD,RF_Cluster_Time_Avg,RF_Cluster_MAE_Avg,RF_Cluster_RMSE_Avg,RF_Cluster_MAD_Avg,RF_Euc_Time_Avg,RF_Euc_MAE_Avg,RF_Euc_RMSE_Avg,RF_Euc_MAD_Avg,NN_Entire_Time,NN_Entire_MAE,NN_Entire_RMSE,NN_Entire_MAD,NN_Cluster_Time_Avg,NN_Cluster_MAE_Avg,NN_Cluster_RMSE_Avg,NN_Cluster_MAD_Avg,NN_Euc_Time_Avg,NN_Euc_MAE_Avg,NN_Euc_RMSE_Avg,NN_Euc_MAD_Avg,GP_Entire_Time,GP_Entire_MAE,GP_Entire_RMSE,GP_Entire_MAD,GP_Cluster_Time_Avg,GP_Cluster_MAE_Avg,GP_Cluster_RMSE_Avg,GP_Cluster_MAD_Avg,GP_Euc_Time_Avg,GP_Euc_MAE_Avg,GP_Euc_RMSE_Avg,GP_Euc_MAD_Avg,GB_Entire_Time,GB_Entire_MAE,GB_Entire_RMSE,GB_Entire_MAD,GB_Cluster_Time_Avg,GB_Cluster_MAE_Avg,GB_Cluster_RMSE_Avg,GB_Cluster_MAD_Avg,GB_Euc_Time_Avg,GB_Euc_MAE_Avg,GB_Euc_RMSE_Avg,GB_Euc_MAD_Avg,GP_Entire_RMSEnorm,GP_Cluster_RMSEnorm,GP_Euc_RMSEnorm
10000,2,0.5,0.5,6,0.000917911529541,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.0003389517466227,0.1495048583775534,0.324282224550546,0.1073117911295685,0.0004040400187174,0.1829137920009184,0.3394203420257661,0.1367569310440212,1.7043561935424805,0.0473076950267371,0.2360022700380447,0.0176808341852401,0.2630048195521037,0.1418880525040726,0.3445185289070508,0.0792893581527653,0.2604669729868571,0.1330192307021834,0.3090815546663776,0.0734128715288289,1.995344161987305,0.0801855123536599,0.2858670903166211,0.0320323967500693,0.242266297340393,0.1300234117125632,0.3080768996071584,0.0730824370742449,0.1600902080535888,0.1459737521655112,0.3173230580918677,0.078013017037016,9.279287099838257,0.07117399,0.25961086,0.024104208,0.4401216904322306,0.12366092,0.293969,0.06774492,0.4667434295018514,0.12853922,0.303407,0.06851006,0.6234719753265381,0.048569815518706,0.236282287106472,0.0232904667765372,0.1063524881998698,0.1368149651928408,0.3555352768348077,0.0754961154044289,0.1058792273203532,0.1307857285665157,0.3198168479389049,0.0724227094154421,2.4090037041759156,0.12938213321467237,0.1416132237148682
5000,1,0.9,1.0,5,0.00071382522583,0.0660671625704012,0.2627241057286416,0.0444733820926332,0.0003892421722412,0.1489270545184765,0.399186523376894,0.0981437681645335,0.0003166198730468,0.1880569156230415,0.4693379241917447,0.1169846877214776,0.7760720252990723,0.0420230676412199,0.1884054112807907,0.0200810299537187,0.1643183708190917,0.1296302153817988,0.4018996734406236,0.0671512931907635,0.1582359313964843,0.1814329633034403,0.5839022652525453,0.0679247170842248,0.9833428859710692,0.0740855817294085,0.247297508451104,0.0341859420769793,0.1177421569824218,0.1510298653382787,0.401974540326267,0.0784949470535201,0.1139434337615966,0.1706421375182524,0.4605822144107747,0.0751110115185372,2.700838804244995,0.07377888,0.24573198,0.029183656,0.192353868484497,0.12507658,0.3751387,0.06410608,0.202843952178955,0.17009687,0.50200534,0.06881626,0.3076620101928711,0.0437084144908416,0.1885994937801061,0.0244686980721396,0.0676896095275878,0.1226750355318084,0.4030964023237586,0.0632484230843502,0.0662580490112304,0.1792999592581313,0.5961647855772599,0.0660079454783826,0.663682467027955,0.07215938016324518,0.10182874718054004
1000,1,0.1,0.5,4,0.0003242492675781,0.0317455583950572,0.0434654806695501,0.0233548458222685,0.0004333853721618,0.0938253424280929,0.1310255623142027,0.0765018672002831,0.0002917051315307,0.1193335796846436,0.1591469381591232,0.0969104614281262,0.1415989398956298,0.0273957163990269,0.0364399019872183,0.0220918843198609,0.0602585077285766,0.0985324563383395,0.1477528658621836,0.0663048302078997,0.0583276748657226,0.0768090023537407,0.1106155611719791,0.0553617021578807,0.0811200141906738,0.0490442240569778,0.0709491426147611,0.0351740621454273,0.0515320301055908,0.1140543477023278,0.1710027924689541,0.0782790420373362,0.0353406071662902,0.1348178902314251,0.1929771078033559,0.0930772257219242,0.2352938652038574,0.047523502,0.08538143,0.030398354,0.057337462902069,0.103373095,0.17265856,0.06926249,0.0514375567436218,0.10506934,0.17928883,0.0619057,0.0641229152679443,0.022981987868128,0.0299081801216999,0.0198961811555146,0.0223314762115478,0.0911154757909681,0.1338169633544177,0.0629714294437135,0.0220923423767089,0.0742442490910496,0.111384181512279,0.052133254564113,0.020089726681332583,0.009899803778724655,0.009222179366622563
100,1,0.1,1.0,7,0.0003859996795654,0.1959857136871199,0.2658167496676893,0.1269034823168668,0.0003504753112792,0.8051280140671405,0.8813763482494312,0.782391666866949,0.0003158705575125,3.464056694251362,4.825607233579463,3.458347885607932,0.0449297428131103,0.0395697216332992,0.0490815641900733,0.0316830720025666,0.0397478512355259,0.4032543257018264,0.4730364992475834,0.3728866122646868,0.0383611066000802,3.388414766205736,4.65279707973147,3.382543921194625,0.0237228870391845,0.2726482060756194,0.4051380716470681,0.1313436577422151,0.0097926344190325,0.3937756319864261,0.4600372918356417,0.3319572458741813,0.0090103149414062,3.4341460241529487,4.729626640927329,3.3913178199096143,0.0376598834991455,0.14043128,0.21644284,0.062149398,0.0289169039045061,0.47487572,0.59043974,0.37599114,0.0273707934788295,3.3999727,4.7306705,3.366795,0.0145490169525146,0.0350415133975668,0.0474358424461769,0.023898651900638,0.0101424285343715,0.3697751865354898,0.4361921838972705,0.3762648223726317,0.0103909628731863,3.3965037000075133,4.614375107302576,3.4318530724889564,0.00815121213862419,0.017073689222981567,0.12948220527189108
10000,1,0.5,0.5,3,0.001755952835083,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.000640312830607,0.0967384215737575,0.2759004119682224,0.0602257405304506,0.0009166399637858,0.1339008915097624,0.3611311607589738,0.0870481855744885,2.53943395614624,0.0471652943759922,0.2366765718596393,0.0179388727343311,0.8185673554738363,0.0864536176114117,0.2452044563281556,0.0437406782517538,0.8031249046325684,0.0908939932034352,0.3409147804834092,0.0380622684603266,2.7428267002105713,0.0765174811533751,0.2827357897826985,0.0279801150363195,0.6266913414001465,0.0948506747162913,0.2454493743255871,0.045702361365209,0.462501049041748,0.1173771772021819,0.343657032834735,0.0523945931137238,13.194941997528076,0.0698553,0.2599043,0.021109015,2.1342662970225015,0.07729301,0.21009947,0.03695308,2.0374983151753745,0.09156746,0.33353758,0.0356773,0.8906738758087158,0.0486530368813386,0.2365616790798181,0.023290466776537,0.3022130330403645,0.0799219160176029,0.2376201871754931,0.0437589831752204,0.2982120513916015,0.0853553712675663,0.3228739557612753,0.0421191057671318,3.429422163408136,0.44840821784329016,0.6795822572976716
5000,1,0.5,2.0,5,0.000727891921997,0.0660671625704012,0.2627241057286416,0.0444733820926332,0.0004456043243408,0.1724268484113794,0.4624237403954369,0.096439849830117,0.0003361701965332,0.1880569156230415,0.4693379241917447,0.1169846877214776,0.7676749229431152,0.0415217647695724,0.1893211003052311,0.0197702758490065,0.1666502475738525,0.1512530097402391,0.4301418728617471,0.0727131041960112,0.1579969406127929,0.1830735802755989,0.58879769600389,0.070670385276432,0.3178071975708008,0.0716312075623946,0.2523870716329424,0.0335985252991843,0.1243070602416992,0.1610051204731068,0.4373444631074357,0.0713999489436141,0.1133186340332031,0.1652325441900014,0.457878194082569,0.0768771384296742,2.667698860168457,0.07350342,0.24597195,0.026603013,0.1945701122283935,0.15360393,0.47113132,0.067791976,0.1915792465209961,0.17039199,0.502143,0.06788097,0.3074560165405273,0.0439779590861195,0.1882935860338367,0.0244869035616135,0.0647164821624755,0.1418226793376964,0.443182975876381,0.0660594555816827,0.0654224872589111,0.1787456534113198,0.5977412550698301,0.0673013626115729,0.6561790906484127,0.09166807380671117,0.09620017758579254
500,2,0.1,1.0,7,0.0004811286926269,0.0455413939607633,0.0632221738965563,0.0316661715460603,0.0003368513924734,0.1998549267914522,0.2640568121636993,0.1425051549601257,0.0003048692430768,0.2034836937803724,0.2748482688447117,0.1541465286621265,0.0875520706176757,0.0349927157272745,0.0562151786511005,0.0226132859517786,0.0444908823285784,0.1896289764036225,0.253637280633308,0.1523126834936246,0.0441392149244036,0.2082356943851523,0.2856004536235039,0.153092674434391,0.0669989585876464,0.0652325639167891,0.0973441882635453,0.0396424052227996,0.01758759362357,0.1833385094347255,0.2576470978636194,0.1261870457138521,0.0147947243281773,0.247972381602905,0.3825631229382997,0.1650183799961022,0.097275972366333,0.07147561,0.10188179,0.046482205,0.0391483988080705,0.22036116,0.30528522,0.15828992,0.0351318972451346,0.2248474,0.3449585,0.15436625,0.0364198684692382,0.0329076443658812,0.054262588204696,0.0202395652099884,0.013052327292306,0.1882471091872324,0.260960854576139,0.1292146180540157,0.0130137375422886,0.188463713531837,0.279912979364154,0.1310208535345673,0.009910650188672541,0.011951427542769542,0.012119046575835764
5000,1,0.5,0.5,4,0.0006229877471923,0.0660671625704012,0.2627241057286416,0.0444733820926332,0.0003957152366638,0.1315942780558317,0.3701784240704703,0.0782340817223866,0.0003502368927001,0.1825428130408337,0.5535900442820251,0.1032744465398197,0.7700448036193848,0.0434150327677109,0.2036523789542501,0.0202092644906906,0.1975405216217041,0.1345686410685242,0.3986474575532141,0.0632975598587725,0.1923828125,0.1385593093820565,0.5159383364389623,0.0519807823919109,0.9274239540100098,0.0722639771017144,0.2482579025062905,0.0290809357007065,0.1638120412826538,0.1307739046707803,0.3569916047302645,0.0682179744880798,0.1101720929145813,0.1601529962020048,0.5284218357181912,0.0633884611254597,2.753908157348633,0.07356172,0.24534759,0.028371692,0.2676531672477722,0.124016255,0.33886218,0.060678042,0.2447265386581421,0.15186177,0.5696266,0.046877198,0.3051300048828125,0.0435512389151168,0.1862886688112298,0.0244686980721396,0.0801085829734802,0.1259574447496485,0.4100061821409314,0.0627950086867112,0.0806103944778442,0.1305999759843847,0.5140508906315553,0.0481997847673481,0.6756647294868279,0.0906975357374847,0.13940274614560605
10000,2,0.9,1.0,7,0.0008659362792968,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.0003228868756975,0.1699151676565113,0.3078838689328987,0.1235411406572676,0.0002966948917933,0.2171414784446725,0.402775286262579,0.1511133466627162,1.7080020904541016,0.0468068506766746,0.2339435839282246,0.018127481419578,0.2261674744742257,0.161523903851661,0.3300074051149551,0.0964686133798012,0.2290820394243513,0.1843210753979496,0.4085335165969445,0.093731712614272,0.9564571380615234,0.0753863617352491,0.2971211159766022,0.0295731658240834,0.2143809114183698,0.1430411093792613,0.2767827735583072,0.09036403504275,0.1611638409750802,0.1716233922704757,0.3690605316164317,0.0881246708745322,9.2205810546875,0.07141704,0.25847465,0.024210304,0.3110542297363281,0.13522424,0.25777662,0.080882266,0.322852611541748,0.1620991,0.36575887,0.080128394,0.6237931251525879,0.0486951799845293,0.236715885174079,0.0232904667765371,0.0909264087677002,0.1464007640457574,0.3380742338301287,0.089282992289626,0.0919023241315569,0.1752149905357109,0.4112795514115328,0.0910492516207304,2.3832864609069824,0.08018250797813416,0.11808620637405871
10000,2,0.5,2.0,7,0.0009398460388183,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.0003611360277448,0.1641850873932103,0.2814337840325346,0.1268064141271708,0.0003121580396379,0.2171414784446725,0.402775286262579,0.1511133466627162,1.7188618183135986,0.046778754542875,0.2354891797540574,0.0181255679981334,0.2272393362862723,0.1552147321817251,0.2865560044283871,0.0977390598289099,0.2244415964399065,0.182540578343496,0.4076224427916967,0.0926388271104665,1.7140390872955322,0.0724451044360583,0.2927766452188702,0.0260125282841479,0.2049922943115234,0.1393699012319159,0.2577473610595631,0.0898457155722954,0.1975021362304687,0.1663995389662005,0.3615483002757664,0.0821606069562999,9.37911581993103,0.06951932,0.25984237,0.02111625,0.3084320681435721,0.13562265,0.25006217,0.08692745,0.3205617495945522,0.16196631,0.36578682,0.08017315,0.6300559043884277,0.0488330583818513,0.2373448222965578,0.023290466776537,0.0972813878740583,0.1419453305435364,0.2745820537394465,0.0914121858030902,0.0950703620910644,0.1745607965707609,0.4109139301857364,0.0909668467892164,2.437091683155372,0.0771271922575695,0.11725726299782754
